03/31/2023 05:59:08 PMMONEY FED:          1.0
03/31/2023 05:59:15 PMMONEY FED:          5.0
03/31/2023 06:00:17 PMMONEY FED:          1.0   1.0
03/31/2023 06:00:22 PMMONEY FED:          5.0   6.0
03/31/2023 06:01:19 PMMONEY FED:          $10.0   $10.0
03/31/2023 06:01:25 PMMONEY FED:          $1.0   $11.0
03/31/2023 06:01:29 PMMONEY FED:          $5.0   $16.0
03/31/2023 06:03:13 PM MONEY FED:          $5.0   $5.0
03/31/2023 06:03:18 PM MONEY FED:          $10.0   $15.0
03/31/2023 06:57:52 PM MONEY FED:          $5.0   $5.0
03/31/2023 06:58:42 PM MONEY FED:          $5.0   $5.0
03/31/2023 06:59:39 PM MONEY FED:          $5.0   $5.0
03/31/2023 07:00:46 PM MONEY FED:          $5.0   $5.0
03/31/2023 07:01:53 PM MONEY FED:          $5.0   $5.0
03/31/2023 07:02:52 PM MONEY FED:          $5.0   $5.0
03/31/2023 07:03:48 PM MONEY FED:          $5.0   $5.0
03/31/2023 07:10:20 PM MONEY FED:          $5.0   $5.0
03/31/2023 07:12:02 PM MONEY FED:          $5.0   $5.0
03/31/2023 07:12:36 PM MONEY FED:          $5.0   $5.0
03/31/2023 07:14:15 PM MONEY FED:          $5.0   $5.0
03/31/2023 07:15:18 PM MONEY FED:          $5.0   $5.0
03/31/2023 07:18:03 PM MONEY FED:          $5.0   $5.0
03/31/2023 07:18:47 PM MONEY FED:          $5.0   $5.0
03/31/2023 07:20:23 PM MONEY FED:          $5.0   $5.0
03/31/2023 07:21:57 PM MONEY FED:          $5.0   $5.0
03/31/2023 07:24:50 PM MONEY FED:          $5.0   $5.0
03/31/2023 07:26:35 PM MONEY FED:          $5.0   $5.0
03/31/2023 07:28:45 PM MONEY FED:          $5.0   $5.0
03/31/2023 07:29:21 PM MONEY FED:          $5.0   $5.0
03/31/2023 07:36:03 PM MONEY FED:          $5.0   $5.0
03/31/2023 07:42:09 PM MONEY FED:          $5.0   $5.0
03/31/2023 07:42:50 PM MONEY FED:          $1.0   $1.0
03/31/2023 07:43:47 PM MONEY FED:          $1.0   $1.0
03/31/2023 07:44:28 PM MONEY FED:          $5.0   $5.0
03/31/2023 07:44:42 PM MONEY FED:          $-5.0   $0.0
03/31/2023 07:45:28 PM MONEY FED:          $5.0   $5.0
03/31/2023 08:04:22 PM MONEY FED:          $5.0   $5.0
03/31/2023 08:06:27 PM MONEY FED:          $5.0   $5.0
03/31/2023 08:08:33 PM MONEY FED:          $5.0   $5.0
03/31/2023 08:10:06 PM MONEY FED:          $5.0   $5.0
03/31/2023 08:16:28 PM MONEY FED:          $5.0   $5.0
03/31/2023 08:19:07 PM MONEY FED:          $5.0   $5.0
03/31/2023 08:22:46 PM MONEY FED:          $5.0   $5.0
03/31/2023 08:24:57 PM MONEY FED:          $5.0   $5.0
03/31/2023 08:26:45 PM MONEY FED:          $5.0   $5.0
03/31/2023 08:28:30 PM MONEY FED:          $2.0   $2.0
03/31/2023 08:40:35 PM MONEY FED:          $3.4   $3.4
03/31/2023 08:44:39 PM MONEY FED:          $3.6   $3.6
03/31/2023 08:46:40 PM MONEY FED:          $5.0   $5.0
03/31/2023 08:47:44 PM MONEY FED:          $3.0   $3.0
03/31/2023 08:48:04 PM MONEY FED:          $3.0   $3.0
03/31/2023 08:49:42 PM MONEY FED:          $2.5   $2.5
03/31/2023 08:55:19 PM MONEY FED:          $5.0   $5.0
03/31/2023 08:55:24 PM MONEY FED:          $1.0   $6.0
03/31/2023 09:01:15 PM MONEY FED:          $7.0   $7.0
03/31/2023 09:01:18 PM MONEY FED:          $7.0   $14.0
